Sigla OACI;DescriÁ„o;Cidade;UF;PaÌs;Continente
FNLU;QUATRO DE FEVEREIRO AIRPORT;LUANDA;;ANGOLA;AFRICA
FQMA;MAPUTO INTERNATIONAL AIRPORT;MAPUTO;;MOCAMBIQUE;AFRICA
FVHA;HARARE INTERNATIONAL AIRPORT;HARARE;;ZIMBAÅBUE;AFRICA
FYWH;WINDHOEK HOSEA KUTAKO INTERNATIONAL AIRPORT;WINDHOEK;;NAMIçBIA;AFRICA
GBYD;BANJUL INTERNATIONAL AIRPORT (YUNDUM INT¬¥L);BANJUL;;GAMBIA;AFRICA
GCLA;LA PALMA AIRPORT;;;ILHAS CANAÅRIAS;AFRICA
GCLP;GRAN CANARIA AIRPORT;LAS PALMAS;;ILHAS CANAÅRIAS;AFRICA
GCRR;LANZAROTE AIRPORT;LANZAROTE/ILHAS CANARIAS;;ESPANHA;EUROPA
GCTS;TENERIFE SOUTH AIRPORT;TENERIFE;;ESPANHA;EUROPA
GCXO;TENERIFE NORTH AIRPORT;TENERIFE;;ESPANHA;EUROPA
GLCP;CAPE PALMAS AIRPORT;GREENVILLE;;LIBERIA;AFRICA
GLRB;MONROVIA;MONROVIA;;LIB√âRIA;AFRICA
GMAD;AGADIR/ AL MASSLRA;AGADIR/ AL MASSLRA;;MARROCOS;AFRICA
GMFK;MOULAY ALI CHERIF AIRPORT;ERRACHIDIA;;MARROCOS;AFRICA
GMMN;AEROPORTO INTERNACIONAL MOHAMMED V;CASABLANCA;;MARROCOS;AFRICA
GMMX;MARRAKECH/MENARA;MARRAKECH/MENARA;;MARROCOS;AFRICA
GOOY;DACAR;DACAR;;SENEGAL;AFRICA
GQNN;NOUAKCHOTT INTERNATIONAL AIRPORT;;;MAURITANIA;AFRICA
GUCY;CONAKRY/GBESSIA;CONAKRY/GBESSIA;;GUINE;AFRICA
GVAC;AEROPORTO INTERNACIONAL AM√çLCAR CABRAL;ILHA DO SAL;;CABO VERDE;AFRICA
GVFM;FRANCISCO MENDES;FRANCISCO MENDES;;CABO VERDE;AFRICA
GVNP;CABO VERDE;CABO VERDE;;CABO VERDE;AFRICA
HAAB;BOLE INTERNATIONAL AIRPORT;;;ETIOPIA;AFRICA
